
% 1. Title: Modular CMA-ES Framework - Fitness values per structure
%
% 2. Sources:
%      (a) Creator: S.J. van Rijn (s.j.van.rijn@liacs.leidenuniv.nl)
%      (b) Donor: Sander van Rijn
%      (c) Date: January, 2017
%
@RELATION ESs

@ATTRIBUTE active       NUMERIC
@ATTRIBUTE elitist      NUMERIC
@ATTRIBUTE mirrored     NUMERIC
@ATTRIBUTE orthogonal   NUMERIC
@ATTRIBUTE sequential   NUMERIC
@ATTRIBUTE threshold    NUMERIC
@ATTRIBUTE tpa          NUMERIC
@ATTRIBUTE pairwise     NUMERIC
@ATTRIBUTE weights      NUMERIC
@ATTRIBUTE base-sampler NUMERIC
@ATTRIBUTE ipop         NUMERIC
@ATTRIBUTE class        NUMERIC

@DATA
0,0,0,0,0,0,0,0,0,0,0,1.52299066757
0,0,0,0,0,0,0,0,0,0,1,1.49738019967
0,0,0,0,0,0,0,0,0,0,2,1.49392722704
0,0,0,0,0,0,0,0,0,1,0,1.55013427062
0,0,0,0,0,0,0,0,0,1,1,1.44752642917
0,0,0,0,0,0,0,0,0,1,2,1.43158176061
0,0,0,0,0,0,0,0,0,2,0,1.95156721941
0,0,0,0,0,0,0,0,0,2,1,1.95446449794
0,0,0,0,0,0,0,0,0,2,2,1.95363243896
0,0,0,0,0,0,0,0,1,0,0,1.54958268742
0,0,0,0,0,0,0,0,1,0,1,1.50073879578
0,0,0,0,0,0,0,0,1,0,2,1.49227149627
0,0,0,0,0,0,0,0,1,1,0,1.49675571105
0,0,0,0,0,0,0,0,1,1,1,1.5378074939
0,0,0,0,0,0,0,0,1,1,2,1.5087598826
0,0,0,0,0,0,0,0,1,2,0,1.98896224187
0,0,0,0,0,0,0,0,1,2,1,1.9891577366
0,0,0,0,0,0,0,0,1,2,2,1.98949886385
0,0,0,0,0,0,0,1,0,0,0,1.56491057846
0,0,0,0,0,0,0,1,0,0,1,1.50488353916
0,0,0,0,0,0,0,1,0,0,2,1.49599676144
0,0,0,0,0,0,0,1,0,1,0,1.53944104903
0,0,0,0,0,0,0,1,0,1,1,1.46869552575
0,0,0,0,0,0,0,1,0,1,2,1.49892910184
0,0,0,0,0,0,0,1,0,2,0,1.63533777185
0,0,0,0,0,0,0,1,0,2,1,1.63194836078
0,0,0,0,0,0,0,1,0,2,2,1.62783062464
0,0,0,0,0,0,0,1,1,0,0,1.52835539838
0,0,0,0,0,0,0,1,1,0,1,1.47169915126
0,0,0,0,0,0,0,1,1,0,2,1.44558325192
0,0,0,0,0,0,0,1,1,1,0,1.5046552415
0,0,0,0,0,0,0,1,1,1,1,1.49803970161
0,0,0,0,0,0,0,1,1,1,2,1.50647358051
0,0,0,0,0,0,0,1,1,2,0,1.87986754765
0,0,0,0,0,0,0,1,1,2,1,1.88616144868
0,0,0,0,0,0,0,1,1,2,2,1.8886806603
0,0,0,0,0,0,1,0,0,0,0,1.55470766781
0,0,0,0,0,0,1,0,0,0,1,1.48527906325
0,0,0,0,0,0,1,0,0,0,2,1.52352782839
0,0,0,0,0,0,1,0,0,1,0,1.52705090381
0,0,0,0,0,0,1,0,0,1,1,1.47216491513
0,0,0,0,0,0,1,0,0,1,2,1.43505871046
0,0,0,0,0,0,1,0,0,2,0,1.66942434522
0,0,0,0,0,0,1,0,0,2,1,1.65168393143
0,0,0,0,0,0,1,0,0,2,2,1.61200341106
0,0,0,0,0,0,1,0,1,0,0,1.57618865101
0,0,0,0,0,0,1,0,1,0,1,1.54069161895
0,0,0,0,0,0,1,0,1,0,2,1.55959883099
0,0,0,0,0,0,1,0,1,1,0,1.52770842697
0,0,0,0,0,0,1,0,1,1,1,1.53645468337
0,0,0,0,0,0,1,0,1,1,2,1.54588673472
0,0,0,0,0,0,1,0,1,2,0,1.79597232523
0,0,0,0,0,0,1,0,1,2,1,1.7947538104
0,0,0,0,0,0,1,0,1,2,2,1.79124907492
0,0,0,0,0,0,1,1,0,0,0,1.56517062766
0,0,0,0,0,0,1,1,0,0,1,1.51930447549
0,0,0,0,0,0,1,1,0,0,2,1.49715728747
0,0,0,0,0,0,1,1,0,1,0,1.50020150254
0,0,0,0,0,0,1,1,0,1,1,1.45866838278
0,0,0,0,0,0,1,1,0,1,2,1.48463916438
0,0,0,0,0,0,1,1,0,2,0,1.61984049828
0,0,0,0,0,0,1,1,0,2,1,1.64501279578
0,0,0,0,0,0,1,1,0,2,2,1.65992240315
0,0,0,0,0,0,1,1,1,0,0,1.51900758228
0,0,0,0,0,0,1,1,1,0,1,1.50538755199
0,0,0,0,0,0,1,1,1,0,2,1.52486782486
0,0,0,0,0,0,1,1,1,1,0,1.55779582437
0,0,0,0,0,0,1,1,1,1,1,1.48072384084
0,0,0,0,0,0,1,1,1,1,2,1.513059998
0,0,0,0,0,0,1,1,1,2,0,1.67693563002
0,0,0,0,0,0,1,1,1,2,1,1.65327784396
0,0,0,0,0,0,1,1,1,2,2,1.67242670181
0,0,0,0,0,1,0,0,0,0,0,1.99884195534
0,0,0,0,0,1,0,0,0,0,1,1.99837946191
0,0,0,0,0,1,0,0,0,0,2,1.99880549169
0,0,0,0,0,1,0,0,0,1,0,1.99808821508
0,0,0,0,0,1,0,0,0,1,1,1.99875486369
0,0,0,0,0,1,0,0,0,1,2,1.99809385169
0,0,0,0,0,1,0,0,0,2,0,1.99740363379
0,0,0,0,0,1,0,0,0,2,1,1.9989172774
0,0,0,0,0,1,0,0,0,2,2,1.99734862914
0,0,0,0,0,1,0,0,1,0,0,1.9920775634
0,0,0,0,0,1,0,0,1,0,1,1.99260001283
0,0,0,0,0,1,0,0,1,0,2,1.99298242235
0,0,0,0,0,1,0,0,1,1,0,1.99063808857
0,0,0,0,0,1,0,0,1,1,1,1.99184984393
0,0,0,0,0,1,0,0,1,1,2,1.99136432168
0,0,0,0,0,1,0,0,1,2,0,1.99804550054
0,0,0,0,0,1,0,0,1,2,1,1.99722426718
0,0,0,0,0,1,0,0,1,2,2,1.99822030055
0,0,0,0,0,1,0,1,0,0,0,1.99732403899
0,0,0,0,0,1,0,1,0,0,1,1.99665237923
0,0,0,0,0,1,0,1,0,0,2,1.99779535811
0,0,0,0,0,1,0,1,0,1,0,1.99687765993
0,0,0,0,0,1,0,1,0,1,1,1.99691916994
0,0,0,0,0,1,0,1,0,1,2,1.9963177326
0,0,0,0,0,1,0,1,0,2,0,1.99815243647
0,0,0,0,0,1,0,1,0,2,1,1.99843027351
0,0,0,0,0,1,0,1,0,2,2,1.99784284559
0,0,0,0,0,1,0,1,1,0,0,1.99805259478
0,0,0,0,0,1,0,1,1,0,1,1.99819086649
0,0,0,0,0,1,0,1,1,0,2,1.99803730017
0,0,0,0,0,1,0,1,1,1,0,1.99731884436
0,0,0,0,0,1,0,1,1,1,1,1.99890014621
0,0,0,0,0,1,0,1,1,1,2,1.9991175308
0,0,0,0,0,1,0,1,1,2,0,1.99864889571
0,0,0,0,0,1,0,1,1,2,1,1.99910844862
0,0,0,0,0,1,0,1,1,2,2,1.99782659259
0,0,0,0,0,1,1,0,0,0,0,1.51662839703
0,0,0,0,0,1,1,0,0,0,1,1.57638147696
0,0,0,0,0,1,1,0,0,0,2,1.58048042922
0,0,0,0,0,1,1,0,0,1,0,1.47446673418
0,0,0,0,0,1,1,0,0,1,1,1.52232248564
0,0,0,0,0,1,1,0,0,1,2,1.51176158608
0,0,0,0,0,1,1,0,0,2,0,1.87370708538
0,0,0,0,0,1,1,0,0,2,1,1.87381121264
0,0,0,0,0,1,1,0,0,2,2,1.88201351154
0,0,0,0,0,1,1,0,1,0,0,1.77918751029
0,0,0,0,0,1,1,0,1,0,1,1.7848158799
0,0,0,0,0,1,1,0,1,0,2,1.77548723485
0,0,0,0,0,1,1,0,1,1,0,1.69784891757
0,0,0,0,0,1,1,0,1,1,1,1.69051558553
0,0,0,0,0,1,1,0,1,1,2,1.68894575113
0,0,0,0,0,1,1,0,1,2,0,1.97256243856
0,0,0,0,0,1,1,0,1,2,1,1.97171053081
0,0,0,0,0,1,1,0,1,2,2,1.97553505131
0,0,0,0,0,1,1,1,0,0,0,1.6009153136
0,0,0,0,0,1,1,1,0,0,1,1.51406080344
0,0,0,0,0,1,1,1,0,0,2,1.54994555599
0,0,0,0,0,1,1,1,0,1,0,1.55087198836
0,0,0,0,0,1,1,1,0,1,1,1.46166435636
0,0,0,0,0,1,1,1,0,1,2,1.47562753131
0,0,0,0,0,1,1,1,0,2,0,1.66145086258
0,0,0,0,0,1,1,1,0,2,1,1.65181572867
0,0,0,0,0,1,1,1,0,2,2,1.66667093514
0,0,0,0,0,1,1,1,1,0,0,1.59131445652
0,0,0,0,0,1,1,1,1,0,1,1.57872587442
0,0,0,0,0,1,1,1,1,0,2,1.58369725633
0,0,0,0,0,1,1,1,1,1,0,1.56151284543
0,0,0,0,0,1,1,1,1,1,1,1.55120389651
0,0,0,0,0,1,1,1,1,1,2,1.55775926088
0,0,0,0,0,1,1,1,1,2,0,1.74565203595
0,0,0,0,0,1,1,1,1,2,1,1.75094326441
0,0,0,0,0,1,1,1,1,2,2,1.75857298146
0,0,0,0,1,0,0,0,0,0,0,1.53820841252
0,0,0,0,1,0,0,0,0,0,1,1.51240536664
0,0,0,0,1,0,0,0,0,0,2,1.49018777855
0,0,0,0,1,0,0,0,0,1,0,1.52725704608
0,0,0,0,1,0,0,0,0,1,1,1.46134137211
0,0,0,0,1,0,0,0,0,1,2,1.48822390705
0,0,0,0,1,0,0,0,0,2,0,1.95624069928
0,0,0,0,1,0,0,0,0,2,1,1.95507107547
0,0,0,0,1,0,0,0,0,2,2,1.95779440326
0,0,0,0,1,0,0,0,1,0,0,1.60977886338
0,0,0,0,1,0,0,0,1,0,1,1.55273678326
0,0,0,0,1,0,0,0,1,0,2,1.56708498027
0,0,0,0,1,0,0,0,1,1,0,1.72786954298
0,0,0,0,1,0,0,0,1,1,1,1.73848600086
0,0,0,0,1,0,0,0,1,1,2,1.72409992118
0,0,0,0,1,0,0,0,1,2,0,1.98981989619
0,0,0,0,1,0,0,0,1,2,1,1.98915057403
0,0,0,0,1,0,0,0,1,2,2,1.99058511297
0,0,0,0,1,0,0,1,0,0,0,1.58305898588
0,0,0,0,1,0,0,1,0,0,1,1.53413864483
0,0,0,0,1,0,0,1,0,0,2,1.48912318004
0,0,0,0,1,0,0,1,0,1,0,1.55892712408
0,0,0,0,1,0,0,1,0,1,1,1.52599086406
0,0,0,0,1,0,0,1,0,1,2,1.50403960414
0,0,0,0,1,0,0,1,0,2,0,1.64046106835
0,0,0,0,1,0,0,1,0,2,1,1.60486981048
0,0,0,0,1,0,0,1,0,2,2,1.6470774307
0,0,0,0,1,0,0,1,1,0,0,1.55045019165
0,0,0,0,1,0,0,1,1,0,1,1.51552026896
0,0,0,0,1,0,0,1,1,0,2,1.53819724483
0,0,0,0,1,0,0,1,1,1,0,1.53589573643
0,0,0,0,1,0,0,1,1,1,1,1.55140878833
0,0,0,0,1,0,0,1,1,1,2,1.55250196151
0,0,0,0,1,0,0,1,1,2,0,1.90005657004
0,0,0,0,1,0,0,1,1,2,1,1.89938843828
0,0,0,0,1,0,0,1,1,2,2,1.89527506037
0,0,0,0,1,0,1,0,0,0,0,1.55127447202
0,0,0,0,1,0,1,0,0,0,1,1.47732083561
0,0,0,0,1,0,1,0,0,0,2,1.48407632094
0,0,0,0,1,0,1,0,0,1,0,1.51616063997
0,0,0,0,1,0,1,0,0,1,1,1.45205131979
0,0,0,0,1,0,1,0,0,1,2,1.52516782952
0,0,0,0,1,0,1,0,0,2,0,1.6438178247
0,0,0,0,1,0,1,0,0,2,1,1.68204722706
0,0,0,0,1,0,1,0,0,2,2,1.65160048039
0,0,0,0,1,0,1,0,1,0,0,1.62283991792
0,0,0,0,1,0,1,0,1,0,1,1.60435699675
0,0,0,0,1,0,1,0,1,0,2,1.6163016076
0,0,0,0,1,0,1,0,1,1,0,1.5651943718
0,0,0,0,1,0,1,0,1,1,1,1.54265740387
0,0,0,0,1,0,1,0,1,1,2,1.50546921676
0,0,0,0,1,0,1,0,1,2,0,1.80919769635
0,0,0,0,1,0,1,0,1,2,1,1.82020744277
0,0,0,0,1,0,1,0,1,2,2,1.81992931605
0,0,0,0,1,0,1,1,0,0,0,1.60855771768
0,0,0,0,1,0,1,1,0,0,1,1.55704830882
0,0,0,0,1,0,1,1,0,0,2,1.54745876861
0,0,0,0,1,0,1,1,0,1,0,1.53991772446
0,0,0,0,1,0,1,1,0,1,1,1.52576335872
0,0,0,0,1,0,1,1,0,1,2,1.51543796027
