
% 1. Title: Modular CMA-ES Framework - Fitness values per structure
%
% 2. Sources:
%      (a) Creator: S.J. van Rijn (s.j.van.rijn@liacs.leidenuniv.nl)
%      (b) Donor: Sander van Rijn
%      (c) Date: January, 2017
%
@RELATION ESs

@ATTRIBUTE active       NUMERIC
@ATTRIBUTE elitist      NUMERIC
@ATTRIBUTE mirrored     NUMERIC
@ATTRIBUTE orthogonal   NUMERIC
@ATTRIBUTE sequential   NUMERIC
@ATTRIBUTE threshold    NUMERIC
@ATTRIBUTE tpa          NUMERIC
@ATTRIBUTE pairwise     NUMERIC
@ATTRIBUTE weights      NUMERIC
@ATTRIBUTE base-sampler NUMERIC
@ATTRIBUTE ipop         NUMERIC
@ATTRIBUTE class        NUMERIC

@DATA
0,0,0,0,0,0,0,0,0,0,0,1.49444450813
0,0,0,0,0,0,0,0,0,0,1,1.48624087318
0,0,0,0,0,0,0,0,0,0,2,1.48801867302
0,0,0,0,0,0,0,0,0,1,0,1.49786423921
0,0,0,0,0,0,0,0,0,1,1,1.49443515257
0,0,0,0,0,0,0,0,0,1,2,1.49188875348
0,0,0,0,0,0,0,0,0,2,0,1.51017867307
0,0,0,0,0,0,0,0,0,2,1,1.5099747279
0,0,0,0,0,0,0,0,0,2,2,1.50826226483
0,0,0,0,0,0,0,0,1,0,0,1.50138019646
0,0,0,0,0,0,0,0,1,0,1,1.49799587133
0,0,0,0,0,0,0,0,1,0,2,1.49944036351
0,0,0,0,0,0,0,0,1,1,0,1.50061033562
0,0,0,0,0,0,0,0,1,1,1,1.50562467647
0,0,0,0,0,0,0,0,1,1,2,1.50044318043
0,0,0,0,0,0,0,0,1,2,0,1.76119242726
0,0,0,0,0,0,0,0,1,2,1,1.77124632834
0,0,0,0,0,0,0,0,1,2,2,1.78361756377
0,0,0,0,0,0,0,1,0,0,0,1.48856007194
0,0,0,0,0,0,0,1,0,0,1,1.48644663313
0,0,0,0,0,0,0,1,0,0,2,1.48563119468
0,0,0,0,0,0,0,1,0,1,0,1.49312865804
0,0,0,0,0,0,0,1,0,1,1,1.48718838463
0,0,0,0,0,0,0,1,0,1,2,1.48859191653
0,0,0,0,0,0,0,1,0,2,0,1.48927346341
0,0,0,0,0,0,0,1,0,2,1,1.48686731804
0,0,0,0,0,0,0,1,0,2,2,1.48526032648
0,0,0,0,0,0,0,1,1,0,0,1.48853012708
0,0,0,0,0,0,0,1,1,0,1,1.49075975234
0,0,0,0,0,0,0,1,1,0,2,1.48760946662
0,0,0,0,0,0,0,1,1,1,0,1.49455807968
0,0,0,0,0,0,0,1,1,1,1,1.49283103943
0,0,0,0,0,0,0,1,1,1,2,1.4900767548
0,0,0,0,0,0,0,1,1,2,0,1.49197720876
0,0,0,0,0,0,0,1,1,2,1,1.48949229166
0,0,0,0,0,0,0,1,1,2,2,1.48705071346
0,0,0,0,0,0,1,0,0,0,0,1.48876389404
0,0,0,0,0,0,1,0,0,0,1,1.49364108233
0,0,0,0,0,0,1,0,0,0,2,1.49151406534
0,0,0,0,0,0,1,0,0,1,0,1.49242278487
0,0,0,0,0,0,1,0,0,1,1,1.49621673355
0,0,0,0,0,0,1,0,0,1,2,1.49251206473
0,0,0,0,0,0,1,0,0,2,0,1.48944685346
0,0,0,0,0,0,1,0,0,2,1,1.48866817696
