
% 1. Title: Modular CMA-ES Framework - Fitness values per structure
%
% 2. Sources:
%      (a) Creator: S.J. van Rijn (s.j.van.rijn@liacs.leidenuniv.nl)
%      (b) Donor: Sander van Rijn
%      (c) Date: January, 2017
%
@RELATION ESs

@ATTRIBUTE active       NUMERIC
@ATTRIBUTE elitist      NUMERIC
@ATTRIBUTE mirrored     NUMERIC
@ATTRIBUTE orthogonal   NUMERIC
@ATTRIBUTE sequential   NUMERIC
@ATTRIBUTE threshold    NUMERIC
@ATTRIBUTE tpa          NUMERIC
@ATTRIBUTE pairwise     NUMERIC
@ATTRIBUTE weights      NUMERIC
@ATTRIBUTE base-sampler NUMERIC
@ATTRIBUTE ipop         NUMERIC
@ATTRIBUTE class        NUMERIC

@DATA
0,0,0,0,0,0,0,0,0,0,0,0.0251428571429
0,0,0,0,0,0,0,0,0,0,1,0.020734375
0,0,0,0,0,0,0,0,0,0,2,0.0219364919355
0,0,0,0,0,0,0,0,0,1,0,0.0200907258065
0,0,0,0,0,0,0,0,0,1,1,0.0197721774194
0,0,0,0,0,0,0,0,0,1,2,0.0218166666667
0,0,0,0,0,0,0,0,0,2,0,0.06375
0,0,0,0,0,0,0,0,0,2,1,0.0509045138889
0,0,0,0,0,0,0,0,0,2,2,0.0747620192308
0,0,0,0,0,0,0,0,1,0,0,0.0552224264706
0,0,0,0,0,0,0,0,1,0,1,0.0532430555556
0,0,0,0,0,0,0,0,1,0,2,0.0684821428571
0,0,0,0,0,0,0,0,1,1,0,0.026540625
0,0,0,0,0,0,0,0,1,1,1,0.0264590517241
0,0,0,0,0,0,0,0,1,1,2,0.0263635416667
0,0,0,0,0,0,0,0,1,2,0,1.51984548266
0,0,0,0,0,0,0,0,1,2,1,1.50935280976
0,0,0,0,0,0,0,0,1,2,2,1.50350467267
0,0,0,0,0,0,0,1,0,0,0,0.0240387931034
0,0,0,0,0,0,0,1,0,0,1,0.0267098214286
0,0,0,0,0,0,0,1,0,0,2,0.0234425403226
0,0,0,0,0,0,0,1,0,1,0,0.022553125
0,0,0,0,0,0,0,1,0,1,1,0.0238191964286
0,0,0,0,0,0,0,1,0,1,2,0.0213981854839
