
% 1. Title: Modular CMA-ES Framework - Fitness values per structure
%
% 2. Sources:
%      (a) Creator: S.J. van Rijn (s.j.van.rijn@liacs.leidenuniv.nl)
%      (b) Donor: Sander van Rijn
%      (c) Date: January, 2017
%
@RELATION ESs

@ATTRIBUTE active       NUMERIC
@ATTRIBUTE elitist      NUMERIC
@ATTRIBUTE mirrored     NUMERIC
@ATTRIBUTE orthogonal   NUMERIC
@ATTRIBUTE sequential   NUMERIC
@ATTRIBUTE threshold    NUMERIC
@ATTRIBUTE tpa          NUMERIC
@ATTRIBUTE pairwise     NUMERIC
@ATTRIBUTE weights      NUMERIC
@ATTRIBUTE base-sampler NUMERIC
@ATTRIBUTE ipop         NUMERIC
@ATTRIBUTE class        NUMERIC

@DATA
0,0,0,0,0,0,0,0,0,0,0,1.87099858404
0,0,0,0,0,0,0,0,0,0,1,1.87502612587
0,0,0,0,0,0,0,0,0,0,2,1.86624972508
0,0,0,0,0,0,0,0,0,1,0,1.85562474023
0,0,0,0,0,0,0,0,0,1,1,1.83685133196
0,0,0,0,0,0,0,0,0,1,2,1.83937258884
0,0,0,0,0,0,0,0,0,2,0,1.86636763107
0,0,0,0,0,0,0,0,0,2,1,1.8389893025
0,0,0,0,0,0,0,0,0,2,2,1.84533670109
0,0,0,0,0,0,0,0,1,0,0,1.88533470971
0,0,0,0,0,0,0,0,1,0,1,1.87835126352
0,0,0,0,0,0,0,0,1,0,2,1.87853883045
0,0,0,0,0,0,0,0,1,1,0,1.86168143672
0,0,0,0,0,0,0,0,1,1,1,1.84010427157
0,0,0,0,0,0,0,0,1,1,2,1.83503868578
0,0,0,0,0,0,0,0,1,2,0,1.86058111996
0,0,0,0,0,0,0,0,1,2,1,1.84391826495
0,0,0,0,0,0,0,0,1,2,2,1.84745905537
0,0,0,0,0,0,0,1,0,0,0,1.87789840527
0,0,0,0,0,0,0,1,0,0,1,1.88137034674
0,0,0,0,0,0,0,1,0,0,2,1.88023752776
0,0,0,0,0,0,0,1,0,1,0,1.87440979979
0,0,0,0,0,0,0,1,0,1,1,1.85317011458
0,0,0,0,0,0,0,1,0,1,2,1.84963699876
0,0,0,0,0,0,0,1,0,2,0,1.8827192455
0,0,0,0,0,0,0,1,0,2,1,1.85470026706
0,0,0,0,0,0,0,1,0,2,2,1.85280834841
0,0,0,0,0,0,0,1,1,0,0,1.88621121154
0,0,0,0,0,0,0,1,1,0,1,1.8711430975
0,0,0,0,0,0,0,1,1,0,2,1.88332377594
0,0,0,0,0,0,0,1,1,1,0,1.8638117816
0,0,0,0,0,0,0,1,1,1,1,1.8540491175
0,0,0,0,0,0,0,1,1,1,2,1.85722339274
0,0,0,0,0,0,0,1,1,2,0,1.87024098217
0,0,0,0,0,0,0,1,1,2,1,1.84523727117
0,0,0,0,0,0,0,1,1,2,2,1.84677960066
0,0,0,0,0,0,1,0,0,0,0,1.88683560441
0,0,0,0,0,0,1,0,0,0,1,1.86416451789
0,0,0,0,0,0,1,0,0,0,2,1.850048209
0,0,0,0,0,0,1,0,0,1,0,1.85515284026
0,0,0,0,0,0,1,0,0,1,1,1.84821992769
0,0,0,0,0,0,1,0,0,1,2,1.84242859916
0,0,0,0,0,0,1,0,0,2,0,1.86995655169
0,0,0,0,0,0,1,0,0,2,1,1.85385680244
0,0,0,0,0,0,1,0,0,2,2,1.85166886062
0,0,0,0,0,0,1,0,1,0,0,1.89417156419
0,0,0,0,0,0,1,0,1,0,1,1.88503799471
0,0,0,0,0,0,1,0,1,0,2,1.87318428178
0,0,0,0,0,0,1,0,1,1,0,1.86347503937
0,0,0,0,0,0,1,0,1,1,1,1.84557225225
0,0,0,0,0,0,1,0,1,1,2,1.8523142282
0,0,0,0,0,0,1,0,1,2,0,1.8883431547
0,0,0,0,0,0,1,0,1,2,1,1.88576097311
0,0,0,0,0,0,1,0,1,2,2,1.87592650841
0,0,0,0,0,0,1,1,0,0,0,1.88941494666
0,0,0,0,0,0,1,1,0,0,1,1.86393280582
0,0,0,0,0,0,1,1,0,0,2,1.85958382581
0,0,0,0,0,0,1,1,0,1,0,1.87594129725
0,0,0,0,0,0,1,1,0,1,1,1.85978283366
0,0,0,0,0,0,1,1,0,1,2,1.85296123045
0,0,0,0,0,0,1,1,0,2,0,1.8955624735
0,0,0,0,0,0,1,1,0,2,1,1.85493592404
0,0,0,0,0,0,1,1,0,2,2,1.85846373871
0,0,0,0,0,0,1,1,1,0,0,1.8878228472
0,0,0,0,0,0,1,1,1,0,1,1.86494325054
0,0,0,0,0,0,1,1,1,0,2,1.87285074274
0,0,0,0,0,0,1,1,1,1,0,1.88185243978
0,0,0,0,0,0,1,1,1,1,1,1.84531074207
