
% 1. Title: Modular CMA-ES Framework - Fitness values per structure
%
% 2. Sources:
%      (a) Creator: S.J. van Rijn (s.j.van.rijn@liacs.leidenuniv.nl)
%      (b) Donor: Sander van Rijn
%      (c) Date: January, 2017
%
@RELATION ESs

@ATTRIBUTE active       NUMERIC
@ATTRIBUTE elitist      NUMERIC
@ATTRIBUTE mirrored     NUMERIC
@ATTRIBUTE orthogonal   NUMERIC
@ATTRIBUTE sequential   NUMERIC
@ATTRIBUTE threshold    NUMERIC
@ATTRIBUTE tpa          NUMERIC
@ATTRIBUTE pairwise     NUMERIC
@ATTRIBUTE weights      NUMERIC
@ATTRIBUTE base-sampler NUMERIC
@ATTRIBUTE ipop         NUMERIC
@ATTRIBUTE class        NUMERIC

@DATA
0,0,0,0,0,0,0,0,0,0,0,0.0655666666667
0,0,0,0,0,0,0,0,0,0,1,0.0409491898148
0,0,0,0,0,0,0,0,0,0,2,0.0258270833333
0,0,0,0,0,0,0,0,0,1,0,0.0262857954545
0,0,0,0,0,0,0,0,0,1,1,0.0233350833333
0,0,0,0,0,0,0,0,0,1,2,0.0334923611111
0,0,0,0,0,0,0,0,0,2,0,1.87742957411
0,0,0,0,0,0,0,0,0,2,1,1.87181100469
0,0,0,0,0,0,0,0,0,2,2,1.8758785419
0,0,0,0,0,0,0,0,1,0,0,0.9914625
0,0,0,0,0,0,0,0,1,0,1,0.234828125
0,0,0,0,0,0,0,0,1,0,2,0.321931944444
0,0,0,0,0,0,0,0,1,1,0,0.977054166667
0,0,0,0,0,0,0,0,1,1,1,0.99859375
0,0,0,0,0,0,0,0,1,1,2,0.185952083333
0,0,0,0,0,0,0,0,1,2,0,1.98230225134
0,0,0,0,0,0,0,0,1,2,1,1.98174906832
0,0,0,0,0,0,0,0,1,2,2,1.98035393212
0,0,0,0,0,0,0,1,0,0,0,0.0276049818841
0,0,0,0,0,0,0,1,0,0,1,0.0245695512821
0,0,0,0,0,0,0,1,0,0,2,0.0243266826923
0,0,0,0,0,0,0,1,0,1,0,0.0327748903509
0,0,0,0,0,0,0,1,0,1,1,0.0172551005747
0,0,0,0,0,0,0,1,0,1,2,0.0212868055556
0,0,0,0,0,0,0,1,0,2,0,1.76599312354
0,0,0,0,0,0,0,1,0,2,1,1.75794268821
0,0,0,0,0,0,0,1,0,2,2,1.75640345716
0,0,0,0,0,0,0,1,1,0,0,0.0703949652778
0,0,0,0,0,0,0,1,1,0,1,0.115119010417
0,0,0,0,0,0,0,1,1,0,2,0.114949479167
0,0,0,0,0,0,0,1,1,1,0,0.0433983796296
0,0,0,0,0,0,0,1,1,1,1,0.0358979166667
0,0,0,0,0,0,0,1,1,1,2,0.0461511029412
0,0,0,0,0,0,0,1,1,2,0,1.82282315482
0,0,0,0,0,0,0,1,1,2,1,1.81413070512
0,0,0,0,0,0,0,1,1,2,2,1.82084179875
0,0,0,0,0,0,1,0,0,0,0,1.94349787879
0,0,0,0,0,0,1,0,0,0,1,1.94117845562
0,0,0,0,0,0,1,0,0,0,2,1.93946422295
0,0,0,0,0,0,1,0,0,1,0,1.9331583026
0,0,0,0,0,0,1,0,0,1,1,1.94084052434
0,0,0,0,0,0,1,0,0,1,2,1.94264260418
0,0,0,0,0,0,1,0,0,2,0,1.96276651878
0,0,0,0,0,0,1,0,0,2,1,1.95933468204
0,0,0,0,0,0,1,0,0,2,2,1.95922615564
0,0,0,0,0,0,1,0,1,0,0,1.9859603349
0,0,0,0,0,0,1,0,1,0,1,1.9815323376
0,0,0,0,0,0,1,0,1,0,2,1.98316941731
0,0,0,0,0,0,1,0,1,1,0,1.98491886772
0,0,0,0,0,0,1,0,1,1,1,1.98286097624
0,0,0,0,0,0,1,0,1,1,2,1.98510069737
0,0,0,0,0,0,1,0,1,2,0,1.99123997479
0,0,0,0,0,0,1,0,1,2,1,1.98998707741
0,0,0,0,0,0,1,0,1,2,2,1.98859321495
0,0,0,0,0,0,1,1,0,0,0,1.81601704773
0,0,0,0,0,0,1,1,0,0,1,1.82577376921
0,0,0,0,0,0,1,1,0,0,2,1.84792774088
0,0,0,0,0,0,1,1,0,1,0,1.79947265
0,0,0,0,0,0,1,1,0,1,1,1.80767500083
0,0,0,0,0,0,1,1,0,1,2,1.75257569261
0,0,0,0,0,0,1,1,0,2,0,1.94538999996
0,0,0,0,0,0,1,1,0,2,1,1.94785219542
0,0,0,0,0,0,1,1,0,2,2,1.94563755903
0,0,0,0,0,0,1,1,1,0,0,1.84589208971
0,0,0,0,0,0,1,1,1,0,1,1.85789709574
0,0,0,0,0,0,1,1,1,0,2,1.86092690134
